iter	Passed	Remaining
400	19369	4782
401	19406	4730
402	19443	4680
403	19483	4629
404	19536	4582
405	19594	4536
406	19639	4487
407	19683	4438
408	19727	4389
409	19772	4340
410	19816	4291
411	19860	4241
412	19901	4192
413	19965	4147
414	20009	4098
415	20062	4051
416	20118	4004
417	20160	3954
418	20199	3904
419	20238	3854
420	20276	3804
421	20322	3756
422	20395	3712
423	20435	3662
424	20473	3613
425	20514	3563
426	20590	3520
427	20640	3472
428	20679	3422
429	20718	3372
430	20758	3323
431	20797	3273
432	20836	3224
433	20880	3175
434	20924	3126
435	20969	3078
436	21013	3029
437	21062	2981
438	21107	2932
439	21151	2884
440	21195	2835
441	21238	2786
442	21283	2738
443	21326	2689
444	21370	2641
445	21407	2591
446	21446	2542
447	21484	2493
448	21530	2445
449	21572	2396
450	21618	2348
451	21656	2299
452	21696	2251
453	21736	2202
454	21781	2154
455	21825	2105
456	21865	2057
457	21910	2009
458	21954	1961
459	21998	1912
460	22045	1864
461	22096	1817
462	22140	1769
463	22180	1720
464	22218	1672
465	22257	1623
466	22296	1575
467	22333	1527
468	22389	1479
469	22426	1431
470	22466	1383
471	22505	1335
472	22548	1287
473	22588	1239
474	22642	1191
475	22687	1143
476	22726	1095
477	22765	1047
478	22804	999
479	22843	951
480	22887	904
481	22931	856
482	22972	808
483	23013	760
484	23072	713
485	23132	666
486	23170	618
487	23209	570
488	23247	522
489	23285	475
490	23324	427
491	23363	379
492	23401	332
493	23440	284
494	23478	237
495	23526	189
496	23595	142
497	23636	94
498	23676	47
499	23716	0
