iter	Logloss
0	0.6845030608
1	0.6761645407
2	0.6666603873
3	0.6574055236
4	0.6499072416
5	0.642614294
6	0.6350887597
7	0.6266470073
8	0.620519693
9	0.6137834714
10	0.6064205091
11	0.6001846879
12	0.5945449641
13	0.588665872
14	0.5822209488
15	0.5765713664
16	0.5707997766
17	0.564100603
18	0.5587214717
19	0.5533410218
20	0.5492417449
21	0.5447410301
22	0.5402970177
23	0.5381474122
24	0.5338601948
25	0.5300760151
26	0.5246754713
27	0.5189208042
28	0.5145966958
29	0.5103289443
30	0.5064814375
31	0.5013193829
32	0.4979858084
33	0.4937992174
34	0.4896424219
35	0.4862034802
36	0.4831452546
37	0.4789343312
38	0.4761621923
39	0.4732320652
40	0.4712495215
41	0.4677937512
42	0.4646944902
43	0.4609349883
44	0.4578123995
45	0.4538990225
46	0.4519576398
47	0.4499817522
48	0.4478097296
49	0.4443510707
50	0.4422251069
51	0.4393285116
52	0.4365893705
53	0.4343883059
54	0.431825991
55	0.4296282545
56	0.4269159576
57	0.425504708
58	0.4229472596
59	0.421456545
60	0.4192188718
61	0.4169854058
62	0.4153091368
63	0.4130827978
64	0.4116449238
65	0.4092189334
66	0.4075188656
67	0.4051762334
68	0.4031713666
69	0.4014543761
70	0.3992224799
71	0.3973840156
72	0.3950188405
73	0.3933860245
74	0.3914804969
75	0.3890582426
76	0.3876802421
77	0.3855090357
78	0.3840325124
79	0.3825480143
80	0.3805027401
81	0.3786712144
82	0.3769923395
83	0.3752494153
84	0.3735003059
85	0.3727698306
86	0.3715525812
87	0.3693590831
88	0.3683029614
89	0.3666599415
90	0.3658479604
91	0.3646174301
92	0.3638141145
93	0.3624986876
94	0.3612534009
95	0.3602264153
96	0.3595313555
97	0.357611511
98	0.3555954042
99	0.3539937023
100	0.3533573857
101	0.3519301552
102	0.3509905152
103	0.3506349163
104	0.3497621827
105	0.3486836751
106	0.3473477462
107	0.3466359205
108	0.3458672041
109	0.3446600015
110	0.3438054151
111	0.3427432339
112	0.3414044792
113	0.3410439825
114	0.3401802597
115	0.3388065291
116	0.337961142
117	0.3370600885
118	0.335995992
119	0.3351252678
120	0.3345945696
121	0.334105472
122	0.3332957829
123	0.3320894595
124	0.3312098185
125	0.3298134823
126	0.3289341868
127	0.3280742944
128	0.3272238209
129	0.326460128
130	0.3250032904
131	0.3240390982
132	0.3230303855
133	0.3223525938
134	0.3215592624
135	0.3205545057
136	0.320026539
137	0.3197288984
138	0.319020809
139	0.3181538523
140	0.3175030618
141	0.3165059659
142	0.3158387863
143	0.3151010898
144	0.3140588768
145	0.3135973455
146	0.3128083782
147	0.3116094644
148	0.3106999652
149	0.3098972462
150	0.3091402407
151	0.3082047137
152	0.3074140823
153	0.3068799933
154	0.3061041498
155	0.3054470486
156	0.3044792458
157	0.3039876051
158	0.3036648786
159	0.3031202717
160	0.3028227253
161	0.3022243045
162	0.3017392257
163	0.3007944994
164	0.2998996939
165	0.2991465188
166	0.2986177986
167	0.2981846185
168	0.2975606722
169	0.2968500396
170	0.2960946982
171	0.295281995
172	0.2946279392
173	0.2944106114
174	0.2938055031
175	0.2929241981
176	0.292354568
177	0.2918458162
178	0.2914540797
179	0.290945422
180	0.290449009
181	0.2903842691
182	0.28989244
183	0.2895423041
184	0.2891686208
185	0.288249577
186	0.287984746
187	0.2871100971
188	0.2865049888
189	0.2861407873
190	0.2855199492
191	0.2852806437
192	0.2845473741
193	0.2838136335
194	0.2833245674
195	0.2830178846
196	0.2823385859
197	0.2818843386
198	0.2813010196
199	0.2807043256
200	0.2802931232
201	0.2798121888
202	0.279641799
203	0.27916953
204	0.278326843
205	0.278148918
206	0.2776103707
207	0.277066737
208	0.2764048321
209	0.2762671263
210	0.2760952294
211	0.2754439994
212	0.2747848574
213	0.274486526
214	0.2741530305
215	0.2739230183
216	0.273638376
217	0.2733551465
218	0.2729631589
219	0.2726563505
220	0.2724185206
221	0.2719546346
222	0.2714841238
223	0.2711861379
224	0.2707067733
225	0.27020923
226	0.2700862806
227	0.2694255688
228	0.2688550596
229	0.268491329
230	0.2681511145
231	0.2680188717
232	0.2674245324
233	0.2668281838
234	0.2664937463
235	0.2661527155
236	0.2655791922
237	0.2649107882
238	0.264302603
239	0.2641007537
240	0.2635879203
241	0.2631445206
242	0.2627339618
243	0.2621622125
244	0.2618015588
245	0.2614969324
246	0.2612154454
247	0.2606853752
248	0.2600125756
249	0.2596558622
250	0.2590939557
251	0.2586557208
252	0.2584003715
253	0.2579015724
254	0.2576323458
255	0.2571840953
256	0.256852201
257	0.2565291448
258	0.2561248026
259	0.2558339751
260	0.2551732318
261	0.2550981781
262	0.2545781077
263	0.2542944072
264	0.2538148072
265	0.253465001
266	0.2532598079
267	0.2530950852
268	0.252769219
269	0.2519745061
270	0.2514698672
271	0.2510544891
272	0.2508780083
273	0.2503786754
274	0.2500354626
275	0.2496442128
276	0.2491204847
277	0.2487294389
278	0.2483616425
279	0.2481877048
280	0.2477671776
281	0.247241864
282	0.2468381968
283	0.2465190966
284	0.2461385531
285	0.2456622026
286	0.245486491
287	0.2452338576
288	0.2450037356
289	0.2447851362
290	0.2444396784
291	0.2438549152
292	0.2434756746
293	0.2433089268
294	0.2430919914
295	0.2426264257
296	0.2423735882
297	0.2421314255
298	0.2418776932
299	0.2416188903
300	0.2415884355
301	0.2409585552
302	0.2405118275
303	0.2400448175
304	0.2396329087
305	0.2392184882
306	0.2390749582
307	0.2387053564
308	0.2384273388
309	0.2382494138
310	0.2378260138
311	0.2373513116
312	0.2370811902
313	0.2365288597
314	0.2364502267
315	0.236000375
316	0.2358659972
317	0.2356054361
318	0.235135569
319	0.2348678024
320	0.2345337887
321	0.2340643298
322	0.2339394024
323	0.2336127199
324	0.2332266819
325	0.2331325547
326	0.2326673343
327	0.232120247
328	0.2314578241
329	0.2312251746
330	0.2308332027
331	0.2306630641
332	0.2304360817
333	0.2300596826
334	0.2296502698
335	0.2293213267
336	0.2290415038
337	0.2285739443
338	0.2280655535
339	0.227975602
340	0.2274819205
341	0.2273514359
342	0.2270490544
343	0.2269623368
344	0.2266667998
345	0.2261911086
346	0.2256997191
347	0.2253957207
348	0.2251078916
349	0.2247863581
350	0.2243898808
351	0.2242741212
352	0.2240191644
353	0.2237475831
354	0.2236091865
355	0.2234131927
356	0.2232586582
357	0.2230152083
358	0.2226350572
359	0.2223119853
360	0.2219800596
361	0.2218164986
362	0.2216336443
363	0.2214923435
364	0.221199538
365	0.2209497774
366	0.220616376
367	0.220434024
368	0.2203756733
369	0.2200290696
370	0.2198504852
371	0.2197561539
372	0.2196722462
373	0.2195550424
374	0.2193360191
375	0.2189638271
376	0.2187649134
377	0.2185922003
378	0.2184532699
379	0.2182591756
380	0.2180533076
381	0.2178454615
382	0.2177506278
383	0.2174798785
384	0.217153039
385	0.2168711282
386	0.2167790103
387	0.2163333343
388	0.216075646
389	0.215813625
390	0.2155348538
391	0.2154246515
392	0.2151173407
393	0.2150026172
394	0.2147795438
395	0.2146751184
396	0.2145654812
397	0.2143621091
398	0.2141794118
399	0.2140569962
400	0.213967233
401	0.2136682895
402	0.2133525644
403	0.2130296809
404	0.2127907364
405	0.2126764211
406	0.2123058931
407	0.212097168
408	0.2116779437
409	0.2113776658
410	0.211134106
411	0.2107088693
412	0.2103439771
413	0.2101128347
414	0.2099884096
415	0.2098792276
416	0.2097718981
417	0.2095228595
418	0.2091976841
419	0.2089465734
420	0.2087497633
421	0.2086274418
422	0.2083957028
423	0.2083636625
424	0.2082271497
425	0.2079528526
426	0.2077790249
427	0.2076207228
428	0.2073264887
429	0.2069993039
430	0.2067524474
431	0.2065171764
432	0.2064393283
433	0.2061828488
434	0.205946573
435	0.2057219454
436	0.2053807576
437	0.2051330378
438	0.2049141401
439	0.2045181808
440	0.2041697561
441	0.2040477957
442	0.203873026
443	0.2036195763
444	0.2033056879
445	0.2030478112
446	0.2028339056
447	0.2026318052
448	0.2024871763
449	0.2023704592
450	0.2022355162
451	0.2019856457
452	0.2017904996
453	0.2016819769
454	0.2014481344
455	0.2012141035
456	0.2010846236
457	0.2007794478
458	0.2006302508
459	0.2004924821
460	0.2004584481
461	0.2003116529
462	0.2001161301
463	0.1999015808
464	0.1997003752
465	0.1994941617
466	0.1994103012
467	0.199184245
468	0.1991167422
469	0.1990437135
470	0.1989773252
471	0.198820279
472	0.1987404529
473	0.1985317591
474	0.1980373869
475	0.1978080969
476	0.1977601856
477	0.1976288533
478	0.1975140513
479	0.1970926607
480	0.1967957736
481	0.1964676154
482	0.1963590771
483	0.1962774614
484	0.1961197559
485	0.1958767926
486	0.1956015693
487	0.195506767
488	0.195056303
489	0.1947912679
490	0.194726057
491	0.1945624175
492	0.1944978502
493	0.1943848221
494	0.1943144308
495	0.1940899445
496	0.1938850811
497	0.1937711425
498	0.1936976272
499	0.1934899224
